creditoBase,cliente,status,error
01010101001190,,actualizado,
01010101001230,,actualizado,
01010214106340,,actualizado,
01010214105490,,actualizado,
01010214115940,,actualizado,
01010214108070,,actualizado,
01010214105930,,actualizado,
01010214108150,,actualizado,
01010214118050,,actualizado,
01010214115930,,actualizado,
01010214117740,,actualizado,
01010214111520,,actualizado,
01010214113970,,actualizado,
01010214115950,,actualizado,
01010214108380,,actualizado,
01010214103740,,actualizado,
01010214112950,,actualizado,
01010214117520,,actualizado,
01010214105320,,actualizado,
01010214116990,,actualizado,
01010214113000,,actualizado,
01010214119080,,actualizado,
01010214104340,,actualizado,
01010202113040,,actualizado,
01010214113570,,actualizado,
01010214112840,,actualizado,
01010214108080,,actualizado,
01010214113930,,actualizado,
01010202110040,,actualizado,
01010214118210,,actualizado,
01010214107780,,actualizado,
01010202106270,,actualizado,
01010214109050,,actualizado,
01010214111910,,actualizado,
01010214117210,,actualizado,
01010101001170,,actualizado,
01010214118100,,actualizado,
01010214118200,,actualizado,
01010214105390,,actualizado,
01010214109180,,actualizado,
01010214104160,,actualizado,
01010214114430,,actualizado,
01010214117540,,actualizado,
01010214113530,,actualizado,
01010214108220,,actualizado,
01010214116040,,actualizado,
01010214106240,,actualizado,
01010101001040,,actualizado,
01010214106490,,actualizado,
01010214104120,,actualizado,
01010214106540,,actualizado,
01010214109060,,actualizado,
01010202103590,,actualizado,
01010214109950,,actualizado,
01010214106280,,actualizado,
01010214112970,,actualizado,
01010214106250,,actualizado,
01010214107220,,actualizado,
